phase,flux,flux2d,model
-0.3333333333333333,0.0,0.0,0.0
-0.3319973279893119,0.0,0.0,0.0
-0.3306613226452906,0.0,0.0,0.0
-0.3293253173012692,0.0,0.0,0.0
-0.3279893119572478,0.0,0.0,0.0
-0.32665330661322645,0.0,0.0,0.0
-0.32531730126920505,0.0,0.0,0.0
-0.32398129592518365,0.0,0.0,0.0
-0.3226452905811623,0.0,0.0,0.0
-0.3213092852371409,0.0,0.0,0.0
-0.3199732798931196,0.0,0.0,0.0
-0.3186372745490982,0.0,0.0,0.0
-0.3173012692050768,0.0,0.0,0.0
-0.31596526386105545,0.0,0.0,0.0
-0.31462925851703405,0.0,0.0,0.0
-0.31329325317301265,0.0,0.0,0.0
-0.3119572478289913,0.0,0.0,0.0
-0.3106212424849699,0.0,0.0,0.0
-0.3092852371409486,0.0,0.0,0.0
-0.3079492317969272,0.0,0.0,0.0
-0.3066132264529058,0.0,0.0,0.0
-0.30527722110888444,0.0,0.0,0.0
-0.30394121576486305,0.0,0.0,0.0
-0.30260521042084165,0.0,0.0,0.0
-0.3012692050768203,0.0,0.0,0.0
-0.2999331997327989,0.0,0.0,0.0
-0.2985971943887775,0.0,0.0,0.0
-0.2972611890447562,0.0,0.0,0.0
-0.2959251837007348,0.0,0.0,0.0
-0.2945891783567134,0.0,0.0,0.0
-0.29325317301269205,0.0,0.0,0.0
-0.29191716766867065,0.0,0.0,0.0
-0.29058116232464926,0.0,0.0,0.0
-0.2892451569806279,0.0,0.0,0.0
-0.2879091516366065,0.0,0.0,0.0
-0.2865731462925852,0.0,0.0,0.0
-0.2852371409485638,0.0,0.0,0.0
-0.2839011356045424,0.0,0.0,0.0
-0.28256513026052105,0.0,0.0,0.0
-0.28122912491649965,0.0,0.0,0.0
-0.27989311957247826,0.0,0.0,0.0
-0.2785571142284569,0.0,0.0,0.0
-0.2772211088844355,0.0,0.0,0.0
-0.2758851035404142,0.0,0.0,0.0
-0.2745490981963928,0.0,0.0,0.0
-0.2732130928523714,0.0,0.0,0.0
-0.27187708750835005,0.0,0.0,0.0
-0.27054108216432865,0.0,0.0,0.0
-0.26920507682030725,0.0,0.0,0.0
-0.2678690714762859,0.0,0.0,0.0
-0.2665330661322645,0.0,0.0,0.0
-0.2651970607882431,0.0,0.0,0.0
-0.2638610554442218,0.0,0.0,0.0
-0.2625250501002004,0.0,0.0,0.0
-0.261189044756179,0.0,0.0,0.0
-0.25985303941215765,0.0,0.0,0.0
-0.25851703406813625,0.0,0.0,0.0
-0.25718102872411486,0.0,0.0,0.0
-0.2558450233800935,0.0,0.0,0.0
-0.2545090180360721,0.0,0.0,0.0
-0.2531730126920507,0.0,0.0,0.0
-0.2518370073480294,0.0,0.0,0.0
-0.250501002004008,0.0,0.0,0.0
-0.24916499665998665,0.0,0.0,0.0
-0.24782899131596525,0.0,0.0,0.0
-0.24649298597194386,0.0,0.0,0.0
-0.24515698062792252,0.0,0.0,0.0
-0.24382097528390112,0.0,0.0,0.0
-0.24248496993987975,0.0,0.0,0.0
-0.24114896459585838,0.0,0.0,0.0
-0.239812959251837,0.0,0.0,0.0
-0.23847695390781562,0.0,0.0,0.0
-0.23714094856379425,0.0,0.0,0.0
-0.23580494321977286,0.0,0.0,0.0
-0.2344689378757515,0.0,0.0,0.0
-0.23313293253173012,0.0,0.0,0.0
-0.23179692718770872,0.0,0.0,0.0
-0.23046092184368738,0.0,0.0,0.0
-0.229124916499666,0.0,0.0,0.0
-0.22778891115564462,0.0,0.0,0.0
-0.22645290581162325,0.0,0.0,0.0
-0.22511690046760185,0.0,0.0,0.0
-0.2237808951235805,0.0,0.0,0.0
-0.22244488977955912,0.0,0.0,0.0
-0.22110888443553772,0.0,0.0,0.0
-0.21977287909151635,0.0,0.0,0.0
-0.218436873747495,0.0,0.0,0.0
-0.2171008684034736,0.0,0.0,0.0
-0.21576486305945222,0.0,0.0,0.0
-0.21442885771543085,0.0,0.0,0.0
-0.21309285237140946,0.0,0.0,0.0
-0.21175684702738812,0.0,0.0,0.0
-0.21042084168336672,0.0,0.0,0.0
-0.20908483633934535,0.0,0.0,0.0
-0.20774883099532399,0.0,0.0,0.0
-0.2064128256513026,0.0,0.0,0.0
-0.20507682030728122,0.0,0.0,0.0
-0.20374081496325985,0.0,0.0,0.0
-0.20240480961923846,0.0,0.0,0.0
-0.2010688042752171,0.0,0.0,0.0
-0.19973279893119572,0.0,0.0,0.0
-0.19839679358717435,0.0,0.0,0.0
-0.19706078824315296,0.0,0.0,0.0
-0.1957247828991316,0.0,0.0,0.0
-0.19438877755511022,0.0,0.0,0.0
-0.19305277221108882,0.0,0.0,0.0
-0.19171676686706746,0.0,0.0,0.0
-0.1903807615230461,0.0,0.0,0.0
-0.18904475617902472,0.0,0.0,0.0
-0.18770875083500332,0.0,0.0,0.0
-0.18637274549098196,0.0,0.0,0.0
-0.1850367401469606,-1.5000000000542357e-05,0.0,-1.650564272703825e-05
-0.1837007348029392,-0.00016250000000039844,0.0,-0.00015404247279870997
-0.18236472945891782,-0.0003556249999997485,0.0,-0.00036183341543727376
-0.18102872411489646,-0.0006006249999999103,-0.00012125000000084984,-0.0006185304286302484
-0.1796927187708751,-0.0008718749999996334,-0.00033750000000021263,-0.0009139169682490511
-0.1783567134268537,-0.0012050000000000116,-0.000583749999999994,-0.0012413679316795045
-0.17702070808283232,-0.001520624999999276,-0.0008968749999999082,-0.0015959746213809467
-0.17568470273881096,-0.001896874999999909,-0.0012643749999996512,-0.001973796741304934
-0.1743486973947896,-0.0023143750000003127,-0.001631249999999751,-0.002371491993467867
-0.1730126920507682,-0.0027400000000004088,-0.002058749999999776,-0.002786106065287841
-0.17167668670674682,-0.0031600000000002737,-0.002482499999999832,-0.0032149411867568034
-0.17034068136272545,-0.003600625000000135,-0.0029343750000000446,-0.003655466897463988
-0.16900467601870406,-0.004068125000000089,-0.0033631250000001334,-0.004105254800600866
-0.1676686706746827,-0.00455374999999969,-0.003844374999999678,-0.0045619272088152085
-0.16633266533066132,-0.0050037499999999735,-0.004305625000000424,-0.005023113507821919
-0.16499665998663995,-0.005445000000000144,-0.004803750000000329,-0.005486409993938235
-0.16366065464261856,-0.00590437499999974,-0.005277500000000046,-0.005949339794003805
-0.1623246492985972,-0.006372499999999781,-0.005786249999999882,-0.006409309613576442
-0.16098864395457582,-0.006835624999999679,-0.0062456250000002544,-0.006863559552387266
-0.15965263861055443,-0.0072950000000006066,-0.006697499999999912,-0.007309100903818755
-0.15831663326653306,-0.007755000000000178,-0.007108125000000021,-0.007742634204088383
-0.1569806279225117,-0.008173749999999869,-0.0075568750000002405,-0.008160434612549894
-0.15564462257849032,-0.008576249999999952,-0.007946249999999822,-0.008558181112197749
-0.15430861723446893,-0.008978124999999837,-0.008296250000000116,-0.00893068252146656
