phase,flux
-3.141592653589793,1.0
-3.1290010998679905,1.0
-3.1164095461461874,1.0
-3.1038179924243847,1.0
-3.091226438702582,1.0
-3.078634884980779,1.0
-3.0660433312589763,1.0
-3.0534517775371737,1.0
-3.0408602238153706,1.0
-3.028268670093568,1.0
-3.0156771163717653,1.0
-3.0030855626499626,1.0
-2.9904940089281595,1.0
-2.977902455206357,1.0
-2.9653109014845542,1.0
-2.9527193477627516,1.0
-2.940127794040949,1.0
-2.927536240319146,1.0
-2.914944686597343,1.0
-2.9023531328755405,1.0
-2.8897615791537374,1.0
-2.877170025431935,1.0
-2.864578471710132,1.0
-2.8519869179883295,1.0
-2.8393953642665264,1.0
-2.8268038105447237,1.0
-2.814212256822921,1.0
-2.801620703101118,1.0
-2.7890291493793153,1.0
-2.7764375956575127,1.0
-2.7638460419357096,1.0
-2.751254488213907,1.0
-2.7386629344921043,1.0
-2.726071380770301,1.0
-2.7134798270484985,1.0
-2.700888273326696,1.0
-2.6882967196048932,1.0
-2.6757051658830906,1.0
-2.663113612161288,1.0
-2.650522058439485,1.0
-2.637930504717682,1.0
-2.6253389509958796,1.0
-2.6127473972740765,1.0
-2.600155843552274,1.0
-2.587564289830471,1.0
-2.574972736108668,1.0
-2.5623811823868654,1.0
-2.5497896286650628,1.0
-2.5371980749432597,1.0
-2.524606521221457,1.0
-2.5120149674996544,1.0
-2.4994234137778517,1.0
-2.4868318600560486,1.0
-2.474240306334246,1.0
-2.4616487526124433,1.0
-2.44905719889064,1.0
-2.4364656451688376,1.0
-2.423874091447035,1.0
-2.411282537725232,1.0
-2.398690984003429,1.0
-2.3860994302816265,1.0
-2.3735078765598234,1.0
-2.3609163228380208,1.0
-2.348324769116218,1.0
-2.335733215394415,1.0
-2.3231416616726124,1.0
-2.3105501079508097,1.0
-2.2979585542290066,1.0
-2.285367000507204,1.0
-2.2727754467854013,1.0
-2.2601838930635987,1.0
-2.247592339341796,1.0
-2.2350007856199934,1.0
-2.2224092318981903,1.0
-2.2098176781763876,1.0
-2.197226124454585,1.0
-2.184634570732782,1.0
-2.1720430170109792,1.0
-2.1594514632891766,1.0
-2.1468599095673735,1.0
-2.134268355845571,1.0
-2.121676802123768,1.0
-2.1090852484019655,1.0
-2.0964936946801624,1.0
-2.0839021409583602,1.0
-2.071310587236557,1.0
-2.0587190335147545,1.0
-2.046127479792952,1.0
-2.0335359260711487,1.0
-2.020944372349346,1.0
-2.0083528186275434,1.0
-1.9957612649057406,1.0
-1.9831697111839377,1.0
-1.970578157462135,1.0
-1.9579866037403322,1.0
-1.9453950500185293,1.0
-1.9328034962967267,1.0
-1.9202119425749238,1.0
-1.9076203888531211,1.0
-1.8950288351313183,1.0
-1.8824372814095154,1.0
-1.8698457276877127,1.0
-1.8572541739659099,1.0
-1.844662620244107,0.9993400000000001
-1.8320710665223043,0.99712
-1.8194795128005015,0.99292
-1.8068879590786988,0.98672
-1.794296405356896,0.9799399999999998
-1.781704851635093,0.9722399999999999
-1.7691132979132904,0.9637400000000002
-1.7565217441914875,0.9546399999999998
-1.7439301904696847,0.9456399999999998
-1.731338636747882,0.93808
-1.7187470830260791,0.9329000000000001
-1.7061555293042763,0.9292200000000002
-1.6935639755824736,0.92508
-1.6809724218606708,0.92208
-1.668380868138868,0.9205
-1.6557893144170652,0.9188200000000002
-1.6431977606952624,0.9165800000000001
-1.6306062069734597,0.9150600000000001
-1.6180146532516568,0.91462
-1.6054230995298544,0.9120399999999999
-1.5928315458080515,0.91084
-1.5802399920862489,0.90948
-1.567648438364446,0.90994
-1.5550568846426431,0.91028
-1.5424653309208405,0.91002
-1.5298737771990376,0.91152
-1.517282223477235,0.91264
-1.504690669755432,0.91426
-1.4920991160336292,0.91586
-1.4795075623118266,0.9184599999999999
-1.4669160085900237,0.9204600000000001
-1.4543244548682208,0.92378
-1.4417329011464182,0.9271800000000001
-1.4291413474246153,0.9319200000000001
-1.4165497937028126,0.93628
-1.4039582399810098,0.94072
-1.391366686259207,0.9482600000000001
-1.3787751325374042,0.95794
-1.3661835788156018,0.9662599999999999
-1.353592025093799,0.9745999999999999
-1.341000471371996,0.9827200000000001
-1.3284089176501934,0.9895799999999999
-1.3158173639283905,0.9949
-1.3032258102065877,0.9985799999999999
-1.290634256484785,0.9999200000000001
-1.2780427027629822,1.0
-1.2654511490411795,1.0
-1.2528595953193766,1.0
-1.2402680415975738,1.0
-1.227676487875771,1.0
-1.2150849341539682,1.0
-1.2024933804321654,1.0
-1.1899018267103627,1.0
-1.1773102729885598,1.0
-1.1647187192667572,1.0
-1.1521271655449543,1.0
