phase,flux,model
-0.24999204332211225,-5.3244039008859545e-05,0.0
-0.2497360821792196,-4.295677354093641e-05,0.0
-0.24936221524043808,0.00020191774819977582,0.0
-0.2488706870042466,-0.00012515632261056453,0.0
-0.2482654813576251,-0.00010539015784161165,0.0
-0.24782561421180113,-0.0005725381197407842,0.0
-0.24762857720232598,-0.0003463250905042514,0.0
-0.2474696819555609,-0.00038302395842038095,0.0
-0.24711653985843293,-2.601052437967155e-05,0.0
-0.24669223432167847,-0.00021835473671671934,0.0
-0.2460600763133229,-0.0002888213493861258,0.0
-0.24551518987967502,-0.00027978059370070696,0.0
-0.24538974777773032,-0.00027758735814131796,0.0
-0.24519947043208387,0.0001484109234297648,0.0
-0.24486718261698065,-0.00012294705084059387,0.0
-0.24456921088250574,-0.00029865725082345307,0.0
-0.2444168451833539,-2.8742846552631818e-05,0.0
-0.24385127705484289,0.00016500060155522078,0.0
-0.24317510932028338,5.5831592362665106e-06,0.0
-0.24292557704915974,1.0242002645100001e-05,0.0
-0.24261414351608127,-7.52584867313999e-07,0.0
-0.24239607963741977,6.456762639572844e-05,0.0
-0.24163905481765813,-0.0003508441732265055,0.0
-0.24088424486647014,0.00017076203948818147,0.0
-0.24064805933584232,3.261227539042011e-05,0.0
-0.24035760952515978,-1.293252262257738e-05,0.0
-0.24022047464301777,-0.00031740256235934794,0.0
-0.23994876492163056,-0.0001783373299986124,0.0
-0.23942333769045127,-0.00013098720228299499,0.0
-0.23878535486539224,-0.00011739646288333461,0.0
-0.23852090818705504,4.1602768760640174e-05,0.0
-0.23836708987929323,5.562977457884699e-05,0.0
-0.238069448936878,0.00010069366828702186,0.0
-0.2377091876193347,-0.00014556193491443992,0.0
-0.2372043126426474,-0.00010829730308614671,0.0
-0.23658555890384153,4.278425330994651e-05,0.0
-0.23614924417709351,0.00013913034854340367,0.0
-0.23584652629567504,0.0003787484747590497,0.0
-0.23546595722211866,-0.00017815858882386237,0.0
-0.23498137561918095,-0.00030337576754391193,0.0
-0.23438242625716688,0.00019810372032225132,0.0
-0.2338509872398591,-4.553447070065886e-06,0.0
-0.23362023101368945,-9.708055586088449e-06,0.0
-0.2332192606994075,-1.4785606254008599e-05,0.0
-0.2328114372365843,7.045256643323228e-05,0.0
-0.23217591377857785,2.5140516868304985e-07,0.0
-0.23154927855939297,-4.350679137132829e-05,0.0
-0.23139054870865775,-0.0001270884313271381,0.0
-0.23096868096556064,-9.648649211158045e-06,0.0
-0.23061097249978244,-5.34638820681721e-06,0.0
-0.22996599270354753,0.0004023727378807962,0.0
-0.22928886854846758,0.00010476194438524544,0.0
-0.22911280807025663,-0.00012802026685676537,0.0
-0.2286186766443779,-5.178444553166628e-06,0.0
-0.22775282123697405,-0.0002357872435823083,0.0
-0.2271017361698981,-1.4174952411849517e-05,0.0
-0.22682387083974773,0.00022073178843129426,0.0
-0.22645650468405254,-0.00019882524793501943,0.0
-0.22605470738962133,-0.00017366738757118583,0.0
-0.22553576655926494,-0.0001284802274312824,0.0
-0.22490415507692105,1.768516540323617e-06,0.0
-0.22460519096626702,0.0001547863066662103,0.0
-0.22418064093103363,-0.0004554775296128355,0.0
-0.2238139219771944,-3.0135586257529212e-06,0.0
-0.22331559093038383,-0.00037055512075312436,0.0
-0.22270325168108351,-0.00015267437265720218,0.0
-0.22229932581165943,3.1920269975671545e-05,0.0
-0.22217181266377573,-0.0002501675335224718,0.0
-0.2219566036644121,0.0002124581969837891,0.0
-0.22156948346984728,-7.7599506767001e-05,0.0
-0.22112822124446718,-0.00010110802759299986,0.0
-0.22049902598238547,-0.0004498054913710803,0.0
-0.2198401241551161,-0.00010029912300524302,0.0
-0.21966081328536197,0.0001472821895731613,0.0
-0.21932139186757996,1.191169758385513e-05,0.0
-0.21899602192120354,-0.0002607979695312679,0.0
-0.21886417971201677,-0.0001371340622426942,0.0
-0.21829139168724615,-0.0002476652734912932,0.0
-0.21760879508091763,1.8439906170897302e-06,0.0
-0.21738799857219773,-5.6856704759411514e-05,0.0
-0.21706960402360204,-0.00021824234863743186,0.0
-0.21682407002172174,-0.0001417322491761297,0.0
